video,frame,landmark_id,x,y
(정상)문열고들어감2,72,0,1.0341492891311646,0.48078250885009766
(정상)문열고들어감2,72,1,1.0343258380889893,0.40786027908325195
(정상)문열고들어감2,72,2,1.0436557531356812,0.4017537832260132
(정상)문열고들어감2,72,3,1.05194091796875,0.39624202251434326
(정상)문열고들어감2,72,4,0.9945741891860962,0.43154823780059814
(정상)문열고들어감2,72,5,0.9821059703826904,0.43914151191711426
(정상)문열고들어감2,72,6,0.9668012261390686,0.4456212520599365
(정상)문열고들어감2,72,7,1.048785924911499,0.42037200927734375
(정상)문열고들어감2,72,8,0.9477941393852234,0.4849509000778198
(정상)문열고들어감2,72,9,1.0602781772613525,0.5407843589782715
(정상)문열고들어감2,72,10,1.0074220895767212,0.5711814165115356
(정상)문열고들어감2,72,11,1.1203062534332275,0.7262639403343201
(정상)문열고들어감2,72,12,0.8990932703018188,0.8171820044517517
(정상)문열고들어감2,72,13,1.2128528356552124,0.8876675963401794
(정상)문열고들어감2,72,14,0.888410747051239,1.169182300567627
(정상)문열고들어감2,72,15,1.2537001371383667,0.7482820153236389
(정상)문열고들어감2,72,16,0.9557192325592041,1.2145130634307861
(정상)문열고들어감2,72,17,1.2774245738983154,0.7031112909317017
(정상)문열고들어감2,72,18,0.954278826713562,1.2355506420135498
(정상)문열고들어감2,72,19,1.2774522304534912,0.7135894298553467
(정상)문열고들어감2,72,20,0.9739713668823242,1.2143540382385254
(정상)문열고들어감2,72,21,1.2633037567138672,0.7463691830635071
(정상)문열고들어감2,72,22,0.9799243807792664,1.2157557010650635
(정상)문열고들어감2,72,23,1.1050164699554443,1.578490138053894
(정상)문열고들어감2,72,24,0.9440970420837402,1.6009331941604614
(정상)문열고들어감2,72,25,1.0909512042999268,1.955581545829773
(정상)문열고들어감2,72,26,0.9531607031822205,2.031079053878784
(정상)문열고들어감2,72,27,1.0567818880081177,2.466897964477539
(정상)문열고들어감2,72,28,0.9116606712341309,2.5595715045928955
(정상)문열고들어감2,72,29,1.0446711778640747,2.5587985515594482
(정상)문열고들어감2,72,30,0.889578104019165,2.6530115604400635
(정상)문열고들어감2,72,31,1.0875868797302246,2.573620319366455
(정상)문열고들어감2,72,32,0.9750878810882568,2.6729726791381836
(정상)문열고들어감2,73,0,0.9608973860740662,0.4967319965362549
(정상)문열고들어감2,73,1,0.9782605767250061,0.41937386989593506
(정상)문열고들어감2,73,2,0.9932041168212891,0.41021037101745605
(정상)문열고들어감2,73,3,1.0056824684143066,0.40253913402557373
(정상)문열고들어감2,73,4,0.9351347088813782,0.4431345462799072
(정상)문열고들어감2,73,5,0.9220271110534668,0.4485297203063965
(정상)문열고들어감2,73,6,0.9105534553527832,0.4527242183685303
(정상)문열고들어감2,73,7,1.0195704698562622,0.4178464412689209
(정상)문열고들어감2,73,8,0.900921642780304,0.4784843921661377
(정상)문열고들어감2,73,9,0.9920448064804077,0.554437518119812
(정상)문열고들어감2,73,10,0.9447791576385498,0.5747900009155273
(정상)문열고들어감2,73,11,1.1552367210388184,0.7307126522064209
(정상)문열고들어감2,73,12,0.8530209064483643,0.8246049880981445
(정상)문열고들어감2,73,13,1.1793265342712402,1.0439949035644531
(정상)문열고들어감2,73,14,0.8180843591690063,1.290910243988037
(정상)문열고들어감2,73,15,1.0764079093933105,0.9155753254890442
(정상)문열고들어감2,73,16,0.8121406435966492,1.6192476749420166
(정상)문열고들어감2,73,17,1.0597999095916748,0.891714870929718
(정상)문열고들어감2,73,18,0.7869978547096252,1.7359987497329712
(정상)문열고들어감2,73,19,1.0583962202072144,0.8848984241485596
(정상)문열고들어감2,73,20,0.816413402557373,1.7432751655578613
(정상)문열고들어감2,73,21,1.0563279390335083,0.9008937478065491
(정상)문열고들어감2,73,22,0.8357971906661987,1.6967440843582153
(정상)문열고들어감2,73,23,1.1445211172103882,1.600063443183899
(정상)문열고들어감2,73,24,0.9265149831771851,1.6410887241363525
(정상)문열고들어감2,73,25,1.1594058275222778,2.3056399822235107
(정상)문열고들어감2,73,26,0.9609969854354858,2.3268637657165527
(정상)문열고들어감2,73,27,1.1848483085632324,2.89275860786438
(정상)문열고들어감2,73,28,0.9956016540527344,2.918661594390869
(정상)문열고들어감2,73,29,1.1961798667907715,2.978243350982666
(정상)문열고들어감2,73,30,1.0010050535202026,3.0082430839538574
(정상)문열고들어감2,73,31,1.149029016494751,3.0824265480041504
(정상)문열고들어감2,73,32,1.0179749727249146,3.0942540168762207
(정상)문열고들어감2,74,0,0.9256738424301147,0.5306574106216431
(정상)문열고들어감2,74,1,0.9476467967033386,0.44432175159454346
(정상)문열고들어감2,74,2,0.9630934000015259,0.4384862184524536
(정상)문열고들어감2,74,3,0.9765175580978394,0.43324708938598633
(정상)문열고들어감2,74,4,0.9022573828697205,0.4576878547668457
(정상)문열고들어감2,74,5,0.8893885612487793,0.46037304401397705
(정상)문열고들어감2,74,6,0.8785157203674316,0.4629632234573364
(정상)문열고들어감2,74,7,0.9978066682815552,0.4432249069213867
(정상)문열고들어감2,74,8,0.8707144260406494,0.48099803924560547
(정상)문열고들어감2,74,9,0.9601445198059082,0.5908924341201782
(정상)문열고들어감2,74,10,0.9092125296592712,0.5982297658920288
(정상)문열고들어감2,74,11,1.1365898847579956,0.7660994529724121
(정상)문열고들어감2,74,12,0.8112106919288635,0.7939795851707458
(정상)문열고들어감2,74,13,1.1726396083831787,1.0990242958068848
(정상)문열고들어감2,74,14,0.752495527267456,1.251150369644165
(정상)문열고들어감2,74,15,1.056173324584961,0.8756905198097229
(정상)문열고들어감2,74,16,0.7228748798370361,1.568120002746582
(정상)문열고들어감2,74,17,1.0312694311141968,0.8335243463516235
(정상)문열고들어감2,74,18,0.6994768381118774,1.6820310354232788
(정상)문열고들어감2,74,19,1.028598666191101,0.801362156867981
(정상)문열고들어감2,74,20,0.7205862402915955,1.6852500438690186
(정상)문열고들어감2,74,21,1.0293660163879395,0.8229845762252808
(정상)문열고들어감2,74,22,0.7406555414199829,1.6443308591842651
(정상)문열고들어감2,74,23,1.1041522026062012,1.6405832767486572
(정상)문열고들어감2,74,24,0.8814517259597778,1.6536775827407837
(정상)문열고들어감2,74,25,1.101130485534668,2.309432029724121
(정상)문열고들어감2,74,26,0.8936508893966675,2.316287040710449
