video,track_id,frame_count,move_distance,avg_speed,movement_range,trajectory_variance,avg_confidence,min_confidence,confidence_variance
(정상)문열고들어감2,1,201,1716.8016505615594,8.584008252807797,1394.2800958156586,62422.16469221037,0.9081408482285874,0.3624813556671142,0.002251796762175498
(정상)문열고들어감2,2,27,11.658902348466386,0.448419321094861,8.450592041015625,2.4055606947090116,0.4426989157994588,0.3048163950443268,0.0072651364439493115
노크,12,191,1334.1599574258182,7.021894512767465,971.2799797058105,84127.19981053182,0.86689551166839,0.3642868995666504,0.028116176872929104
노크2,18,109,1429.344600995181,13.234672231436862,1492.3588755577803,157536.49740801787,0.9043835844468633,0.6448422074317932,0.0008515651988806621
뒤로지나감,21,162,1896.3866214652048,11.778798891088229,1236.661922454834,86057.29003331518,0.8381264474656847,0.6543729305267334,0.0048678745403821794
뒤로지나감,24,18,245.60248461121765,14.44720497713045,284.62744140625,4598.054766631947,0.8328282369507684,0.5532277822494507,0.008375191344406733
뒤로지나감,26,24,826.620694285576,35.94003018632939,890.1319046020508,50495.52386296772,0.8486534903446833,0.4810841679573059,0.011935975820192875
비번틀림반복,28,503,3227.280832231818,6.428846279346251,1055.8137817382812,28620.24110261563,0.860095747659505,0.6988267302513123,0.0010494503039727835
사용자뒤접근,33,108,1397.767833581685,13.063250781137242,1120.7577362060547,78844.97107305499,0.8520723360556143,0.598012387752533,0.005001792593888469
사용자뒤접근,35,74,881.0840563155097,12.069644607061775,832.3144683837891,33518.58621079118,0.8694230028100915,0.3779899179935455,0.014631464494476804
사용자뒤접근,37,98,667.920421643043,6.885777542711784,201.66923141479492,1946.2595216760465,0.8290288980518069,0.4311387836933136,0.0040775655586697684
외부인혼자지나감,40,37,1557.7158329511674,43.269884248643535,1589.6544609069824,261141.57519429803,0.8801683421070511,0.3993473947048187,0.009980473194778518
정상(문열고 들어감),47,64,1377.7827474073597,21.86956741916444,1482.5479712486267,171588.14849954043,0.8281376427039504,0.3057846128940582,0.02968543852500987
정상(문열고 들어감),48,116,784.2901575857123,6.819914413788803,150.749693274498,923.0786257892078,0.7734017487743805,0.334881991147995,0.006427546951747345
카메라가림,48,67,492.6416583673562,7.464267551020548,258.2362562417984,2774.4085145511112,0.9362483015700952,0.6001343131065369,0.0028779002736077364
카메라가림,49,13,16.238675099051473,1.3532229249209562,16.301910400390625,13.848013521342942,0.39884655292217547,0.3288514316082001,0.0018951781516409402
택배배달,53,40,1094.9476507653117,28.075580788854147,1102.0645446777344,60652.36026289578,0.833616628497839,0.331661969423294,0.019284743480708588
택배배달,61,123,1531.6320439969488,12.554361016368434,1271.662857055664,94113.81756275022,0.9161435842998629,0.3777147233486175,0.007829448838551615
택배배달,69,38,197.05593759075597,5.325836151101512,191.75909423828125,1208.666225517976,0.536046036764195,0.3080455660820007,0.029715741615663576
택배배달,72,10,15.15857129018096,1.6842856989089956,12.15338134765625,7.619664860423655,0.3680967211723328,0.324946254491806,0.002573685026018105
택배배달2,84,25,849.4360744599069,35.39316976916279,843.8103103637695,28877.08649863778,0.8140761828422547,0.5069223642349243,0.020348559773691613
택배배달2,90,149,1818.3812899874456,12.286360067482741,1562.1344718933105,117786.0798423648,0.8679582004579122,0.3099801540374756,0.03069791623750744
