video,frame_count,hand_motion,body_motion,upper_body_angle,arm_extension
(정상)문열고들어감2.mp4,455,26.526613722429826,4.905418758991348,91.91076682341735,0.9238698405671814
노크.mp4,192,52.47742643290469,6.544814825052844,-111.04462379652502,0.6039081255696517
노크2.mp4,171,30.99576196157436,3.0516915409075986,-107.16405732863987,0.45646808727361193
뒤로지나감.mp4,207,44.641235209961735,6.721940096476781,-90.2196389626417,0.42885579769570753
비번틀림반복.mp4,529,132.07018171667144,15.165510705603543,-56.81046329573627,0.4855574862647039
사용자뒤접근.mp4,252,56.60997837861449,6.382821602016665,69.63718694385202,0.5605977008299485
외부인혼자지나감.mp4,162,3.101155625882388,1.5757047348495206,63.68780675777284,0.30716659397937673
정상(문열고 들어감).mp4,282,25.91550074240573,9.822262693039349,31.613716226273024,0.40373817680233653
카메라가림.mp4,125,2.05487510648247,0.43446715330530905,-46.47468887076991,0.5816372687105679
택배배달.mp4,295,7.051147894462746,2.6689810713701347,73.034622602489,0.2781292339034713
택배배달2.mp4,260,5.5643745362371835,3.0774748564117553,76.72857369898517,0.29795532535050695
