video,track_id,frame_count,move_distance,avg_speed,movement_range,trajectory_variance
노크,1,192,1334.4664424304613,6.986735300683043,971.2721796035767,85122.80895518989
뒤로지나감,8,162,1896.3866214652048,11.778798891088229,1236.661922454834,86057.29003331518
뒤로지나감,11,18,245.60248461121765,14.44720497713045,284.62744140625,4598.054766631947
뒤로지나감,13,24,826.620694285576,35.94003018632939,890.1319046020508,50495.52386296772
비번틀림반복,15,503,3227.280832231818,6.428846279346251,1055.8137817382812,28620.24110261563
사용자뒤접근,20,108,1397.767833581685,13.063250781137242,1120.7577362060547,78844.97107305499
사용자뒤접근,22,74,881.0840563155097,12.069644607061775,832.3144683837891,33518.58621079118
사용자뒤접근,24,98,667.920421643043,6.885777542711784,201.66923141479492,1946.2595216760465
정상(문열고 들어감),24,10,107.43720510870837,11.93746723430093,39.14896643161774,177.61940631416846
정상(문열고 들어감),30,64,1377.7827474073597,21.86956741916444,1482.5479712486267,171588.14849954043
정상(문열고 들어감),31,116,784.2901575857123,6.819914413788803,150.749693274498,923.0786257892078
카메라가림,31,67,492.6416583673562,7.464267551020548,258.2362562417984,2774.4085145511112
카메라가림,32,13,16.238675099051473,1.3532229249209562,16.301910400390625,13.848013521342942
택배배달,36,40,1094.9476507653117,28.075580788854147,1102.0645446777344,60652.36026289578
택배배달,44,123,1531.6320439969488,12.554361016368434,1271.662857055664,94113.81756275022
택배배달,52,38,197.05593759075597,5.325836151101512,191.75909423828125,1208.666225517976
택배배달,55,10,15.15857129018096,1.6842856989089956,12.15338134765625,7.619664860423655
택배배달2,67,25,849.4360744599069,35.39316976916279,843.8103103637695,28877.08649863778
택배배달2,73,149,1818.3812899874456,12.286360067482741,1562.1344718933105,117786.0798423648
