video,frame_count,move_distance,avg_speed,movement_range,trajectory_variance,avg_confidence,min_confidence,confidence_variance,hand_motion,body_motion,upper_body_angle,arm_extension,person_count
(정상)문열고들어감2,201,1716.8016505615594,8.584008252807797,1394.2800958156586,62422.16469221037,0.9081408482285874,0.3624813556671142,0.0072651364439493,6.0184886567906775,1.4396342180187582,84.25960788533237,0.8575859546722424,2
노크,191,1334.1599574258182,7.021894512767465,971.2799797058104,84127.19981053182,0.86689551166839,0.3642868995666504,0.0281161768729291,2.4136244058983247,1.254206902237594,-142.50031431835822,0.4197027796693781,1
노크2,109,1429.344600995181,13.234672231436862,1492.3588755577805,157536.4974080179,0.9043835844468632,0.6448422074317932,0.0008515651988806,4.781578809508607,0.8676105676396964,-112.23226984829957,0.4320837071643879,1
뒤로지나감,162,1896.3866214652048,35.94003018632939,1236.661922454834,86057.29003331518,0.8486534903446833,0.6543729305267334,0.0119359758201928,6.841573269428164,1.4329856183210403,-61.97279675062515,0.5371655578754697,3
비번틀림반복,503,3227.280832231818,6.428846279346251,1055.8137817382812,28620.24110261563,0.860095747659505,0.6988267302513123,0.0010494503039727,16.772865122260168,2.37606859063609,-76.96071969635655,0.476321982338683,1
사용자뒤접근,108,1397.767833581685,13.063250781137242,1120.7577362060547,78844.97107305499,0.8694230028100915,0.598012387752533,0.0146314644944768,5.081656216206839,1.7785404375430045,21.736686999308404,0.4764802875120185,3
외부인혼자지나감,37,1557.7158329511674,43.269884248643535,1589.6544609069824,261141.57519429803,0.8801683421070511,0.3993473947048187,0.0099804731947785,0.5201463214556614,0.4687555942526789,60.00004616832945,0.5020914057792273,1
정상(문열고 들어감),116,1377.7827474073597,21.86956741916444,1482.5479712486267,171588.14849954043,0.8281376427039504,0.334881991147995,0.0296854385250098,3.120723006098409,2.547202752297811,-25.8862437652928,0.3025578117272285,2
카메라가림,67,492.6416583673562,7.464267551020548,258.2362562417984,2774.4085145511112,0.9362483015700952,0.6001343131065369,0.0028779002736077,0.2692070387397553,0.0874244526206235,-57.8477665905049,0.5898373050380411,2
택배배달,123,1531.6320439969488,28.075580788854147,1271.662857055664,94113.81756275022,0.9161435842998628,0.3777147233486175,0.0297157416156635,2.839041025820829,1.705153809235149,55.97564289402536,0.2854589064101257,4
택배배달2,149,1818.3812899874456,35.39316976916279,1562.1344718933103,117786.0798423648,0.8679582004579122,0.5069223642349243,0.0306979162375074,1.9052511846524076,1.7053220527398916,96.61483813977246,0.2776764235112425,2
