video,frame_count,hand_motion_sum,hand_motion_mean,hand_motion_std,hand_motion_max,body_motion_sum,body_motion_mean,body_motion_std,body_motion_max,upper_body_angle_mean,upper_body_angle_std,upper_body_angle_max,upper_body_angle_min,arm_extension_mean,arm_extension_std,arm_extension_max,arm_extension_min
C021_A17_SY15_P01_S01_01DAS.mp4,600,1.1687574631496676,0.019809448527960467,0.019903685724403212,0.11842917939045651,0.7208946250213912,0.012218552966464258,0.008603381599632575,0.028619059697305695,9.35943248712571,24.179626035278126,59.8001644202976,-76.59305588591207,0.13313513336617447,0.03825372862304175,0.1889407897108393,0.07622245545231057
C021_A17_SY15_P01_S01_01DBS.mp4,600,1.2874289510041688,0.02182082967803676,0.021514330478379157,0.1014305663752272,0.6967059390679823,0.011808575238440379,0.008395380030594502,0.03143485450554262,32.14139512756616,68.06432961962871,176.46143125532228,-179.68732473473779,0.15139892166594343,0.039550861659430746,0.21701307787187135,0.09376294294493659
C021_A17_SY15_P01_S02_01DAS.mp4,600,1.272949219736659,0.02157541050401117,0.019439941009838344,0.12792467103517513,0.6473049961956652,0.010971271121960427,0.007895954470879889,0.0283647995398597,-16.783475579537342,77.2529684185172,176.94757022341807,-177.46099517025274,0.122754119614664,0.03616142920126277,0.17950696166614405,0.050309081500680385
C021_A17_SY15_P01_S02_01DBS.mp4,600,0.6813825152786899,0.011548856191164235,0.009654202152602922,0.044066974225487394,0.2380114515223468,0.004034092398683844,0.0076460339517696,0.028920403974878096,1.1542450082709903,9.304585586344054,38.99976842381202,-8.79731931664931,0.10556488412785167,0.015936610301577104,0.15855977641377533,0.06712853590799396
C021_A17_SY15_P01_S03_01NAS.mp4,600,2.5953973202214526,0.0439897850884992,0.043657292715715904,0.17813013099781028,1.531331366723335,0.025954768927514152,0.047091086067558255,0.20244262572437793,-15.342062165611216,36.265923596385676,56.93346327827635,-122.87512686918664,0.1166693456916935,0.042898350315855656,0.2117541885103847,0.05625361927588083
C021_A17_SY15_P01_S03_01NBS.mp4,600,1.0528292512453046,0.01784456358042889,0.023404203326237084,0.11762986637760181,0.5079720445870356,0.008609695670966705,0.010895138656531368,0.048094054367735936,40.86689857543761,47.83757165215815,177.36976600332872,-2.3825505078085114,0.1782308466410212,0.024092991090333922,0.23012862666743578,0.10103344208196398
C021_A17_SY15_P01_S04_01DAS.mp4,600,1.4819352552674558,0.025117546699448403,0.03229531030511024,0.2129426200748346,0.6572823833742165,0.011140379379224009,0.012433148949847787,0.04158400565246468,-2.642744836551403,43.07352305440722,151.70948245256812,-167.84747169763125,0.1059483279740366,0.05695062747688316,0.2216297624610888,0.027548303922913284
C021_A17_SY15_P01_S04_01DBS.mp4,600,1.1870328299940227,0.020119200508373267,0.03058375324572527,0.18382415877542993,0.610722859499362,0.010351234906768848,0.011933838251825563,0.038383952771557164,16.934460705259696,52.597817986267884,174.95152666387176,-130.85258861220046,0.1037549165690009,0.051171281838158986,0.21477174646809138,0.026777491277593577
C021_A17_SY15_P01_S05_01DAS.mp4,600,2.891280182527499,0.049004748856398286,0.04254549573162438,0.1737654946850372,0.9623010193805553,0.016310186769161954,0.011644633215857788,0.039531361013675125,11.7044425736554,53.34817580293096,158.2940551219677,-108.54616184317345,0.1381641421497393,0.05448540702037121,0.2281373322930446,0.05093011523080588
C021_A17_SY15_P01_S05_01DBS.mp4,600,3.3426389505509255,0.05665489746696484,0.05225992152530933,0.21175049978774263,1.0086676622348552,0.017096062071777204,0.011952400766216408,0.044296711009122414,31.62073690624753,60.42379480060091,177.12612979593314,-178.2214713494436,0.16940635824162342,0.04926103525397727,0.25809497624314987,0.07699160927299438
C021_A17_SY15_P01_S06_01DAS.mp4,600,1.8254115601423273,0.030939178985463174,0.036279133226061216,0.1636439932025844,0.6590403815595497,0.011170175958636435,0.011317751922088564,0.04739525280912882,9.487287026839585,13.131998930991308,26.19802172316404,-37.86895639113139,0.15575331171565213,0.08892645527919209,0.29881333448458913,0.03577440593878777
C021_A17_SY15_P01_S06_01DBS.mp4,600,0.4231241238257852,0.007171595319081105,0.013688829268182313,0.09609738519063384,0.24835539188705733,0.004209413421814531,0.003229705500135363,0.015039803717831594,94.65260493204491,54.01327167600714,176.04090596026492,-179.41139577369535,0.1264105247584835,0.032817757470497234,0.20411856813354348,0.10274378239715702
C021_A17_SY15_P01_S07_01DBS.mp4,600,0.9822339840254086,0.0166480336275493,0.01823779950529884,0.09589266620538646,0.4903059671060383,0.008310270628915904,0.009931488834523723,0.037547032862611344,11.598472972619799,68.10059181955293,173.16401530788505,-178.52853772811744,0.15033010490465543,0.025187063342836134,0.20149501996187866,0.05655649809476935
C021_A17_SY15_P01_S08_01DAS.mp4,600,1.6964333542550762,0.02875310769923858,0.02868140218530782,0.15304012483704352,0.8887271246956002,0.015063171605010174,0.012458490120070047,0.04043952645882179,-2.9069032261047125,52.4722872221359,173.6857888084421,-119.89232270793141,0.17062331656097723,0.035513289575680194,0.241239121244038,0.06182270491177714
C021_A17_SY15_P01_S08_01DBS.mp4,600,1.6422104047845323,0.027834074657364954,0.0310613406847071,0.1499089127086669,0.6813965940978511,0.011549094815217816,0.009538072233549653,0.03250217075759454,0.47857620226106146,46.19122263603886,133.89861202921352,-83.0675715089844,0.10631825574189344,0.03072616725140232,0.17239412163773163,0.029593722796342394
C021_A17_SY15_P01_S09_01DBS.mp4,600,1.322617924432389,0.02241725295648117,0.01959523815985399,0.06728670289098869,0.7513774947796193,0.012735211775925752,0.009518363627340083,0.03354022705207002,3.5141466195024007,16.389929226208253,39.5650530660843,-33.80029563547535,0.16172656484215567,0.0294714360743695,0.22908516550869176,0.0770384662960855
C021_A17_SY15_P01_S10_01DAS.mp4,600,2.4252318230752263,0.04181434177715908,0.03776793140067702,0.18426799382741527,1.2094193952409382,0.020852058538636867,0.03715141651797209,0.17765082862387993,-54.56821285833594,79.22383336938704,179.45839361684386,-179.24413830273835,0.14332802954088533,0.046113376725865504,0.21912168702675094,0.028003858473702264
C021_A17_SY15_P01_S10_01DBS.mp4,600,1.467947952048782,0.024880473763538677,0.021498683724747152,0.07900458130512651,1.2366310049445892,0.020959847541433714,0.01629930916169811,0.05251978757691192,4.663630960319494,64.79365453619442,177.9449926653441,-171.91433920348888,0.19684264633227586,0.04605844728688847,0.3156825212234571,0.13198480456237915
