video,track_id,frame_count,move_distance,avg_speed,max_speed,min_speed,std_speed,movement_range,trajectory_variance,hand_motion_sum,hand_motion_mean,hand_motion_std,hand_motion_max,body_motion_sum,body_motion_mean,body_motion_std,body_motion_max,upper_body_angle_mean,upper_body_angle_std,upper_body_angle_max,upper_body_angle_min,arm_extension_mean,arm_extension_std,arm_extension_max,arm_extension_min
C021_A18_SY16_P07_S01_01DAS,420,601,272.0805700139941,0.4534676166899901,5.72183337895243,0.0043144951231618,0.6203488918740672,76.7104263305664,771.502033857309,0.3919791873190313,0.0066437150393056,0.0094628869888553,0.0480371539258467,0.1437446771590068,0.0024363504603221,0.0024797736742959,0.0122837947834196,16.984309061624636,6.098911413997163,29.260223717175727,7.190340855508747,0.1132313049029358,0.0453450145424776,0.1645154232097866,0.0441238503914041
C021_A18_SY16_P07_S01_02DAS,3202,601,381.5372384734477,0.635895397455746,17.272270685280603,0.0085841809717868,1.4136527624274144,88.74622344970703,318.8147208644931,0.677959011152862,0.0114908306975061,0.0178870334657634,0.1075705340258342,0.1403340596459595,0.0023785433838298,0.0023335031770861,0.0107458690112475,14.475459007829794,34.346976702229426,121.1153340878647,-179.2141646095019,0.1461753446942938,0.0380835561094907,0.1867910237962643,0.0603880285817858
C021_A18_SY15_P07_S11_02NAS,2211,601,701.615215637397,1.1693586927289967,32.38468989981828,0.0039966668997895,1.9598914406072592,253.31124877929688,1655.3144014661732,1.685561341331747,0.0306465698423954,0.0213392030787841,0.1098056157072414,0.3053509578504964,0.0055518355972817,0.0063020553120739,0.0348690252978497,-29.50781079301788,16.919109344439914,11.064091839742606,-53.9668551119491,0.1147569788092467,0.0295813138448064,0.1800337783280823,0.0582319793259694
C021_A18_SY16_P07_S13_02NAS,257,601,551.9951140489176,0.9199918567481952,25.441860101456165,0.0175988833061016,1.4038957303982806,78.6489028930664,112.65891158260598,1.2170826816694715,0.0206285200282961,0.0300845980879611,0.1237010660093695,0.2154404669392883,0.003651533337954,0.0034449064606218,0.017171722367349,11.198950282500896,4.444460079394474,19.42824602262545,2.042774961204301,0.17246046390738,0.0235355563254192,0.1905132836031187,0.0801588885258333
C021_A21_SY16_P07_S02_01DAS,816,601,354.9125104860259,0.5915208508100439,13.733307505273894,0.0029621314633378,0.849244743658782,88.37653350830078,106.3837054513967,0.6041489442210699,0.0102398126139164,0.0220211979577973,0.1297504262971774,0.1362189575743756,0.0023087958910911,0.003375861478899,0.018562043274904,-3.2638625827968277,11.393285870812692,12.34731909369394,-19.64821263192974,0.1039086606655789,0.054906711414276,0.1674669465753591,0.0401775887251481
C021_A21_SY15_P07_S14_01DAS,2242,601,1005.6480439107494,1.676080073184582,10.417267687298262,0.0141699218782862,1.755599188782114,379.3077697753906,4719.971843396259,1.3846489406521358,0.023468626112748,0.0211629029478969,0.0795356728031166,0.4864432821261645,0.0082448013919688,0.0068809621227226,0.0306829436764752,-38.23901488604199,66.63056306689681,170.30600825711855,-179.03400485419488,0.1889000069431682,0.0313627909565903,0.2553322329309725,0.0437786952105358
C021_A18_SY15_P07_S12_03NAS,756,601,1441.6466607031962,2.402744434505328,15.151273498159435,0.0082712911833233,2.508036094935689,660.8546142578125,23896.193467198627,1.282517392436614,0.0217375829226544,0.0167563944421704,0.085170715007641,0.7954548751970983,0.0134822860202898,0.012616622488316,0.0488915868915393,-15.905995926260395,66.95068432725269,169.20165854853,-177.24447559480453,0.1621720368858417,0.0545900116767705,0.2669419696575627,0.0715235028070418
C021_A18_SY15_P07_S13_03NBS,3202,601,991.9088514762414,1.6531814191270688,49.08563721103347,0.0093244342533341,2.649151385124215,507.3728485107422,10544.220667872009,1.285867833911245,0.0217943700662922,0.0401544571723491,0.2140978125987536,0.4729588915268727,0.0080162523987605,0.0076886393711722,0.0307350931296641,4.5926809569967,30.15199945761837,41.77733881608451,-108.54051493562125,0.1211226591610015,0.0433228029048638,0.2019300178799209,0.0425495391823261
C021_A18_SY16_P07_S12_03NBS,3146,601,231.2952508045147,0.3854920846741911,28.604645296212706,0.0019110072332963,1.2822395276640903,63.13615417480469,161.5590571475934,0.4421017891565992,0.0074932506636711,0.0086439764686824,0.0480239232618973,0.1182130435966983,0.0020036109084186,0.0019111217548233,0.0091330646824396,6.103367544239704,2.5032315114582824,12.724107587945294,-0.4864965767153019,0.1088631554817639,0.0467430151879672,0.1761890092150226,0.0590956026583546
C021_A21_SY16_P07_S12_01NBS,2180,601,693.068904537692,1.1551148408961538,12.015404142889894,0.0260229074195263,1.134783253267471,69.55294799804688,182.67162386097837,1.1717756487433693,0.0198606042159893,0.0216157871740102,0.1185771972626871,0.1504402246491417,0.0025498343160871,0.0021461414847154,0.0119479983858297,-11.66122375958643,14.57591138003649,9.87080025160916,-36.831866816039,0.1117428545222223,0.0413692221716869,0.1769729197711217,0.0283423909319102
C021_A21_SY16_P07_S14_01DAS,1698,601,589.5154530157786,0.9825257550262968,71.0001582882544,0.0050686748310917,3.2196095817922594,170.1258087158203,297.5275859535442,1.7302952327849257,0.0293270378438123,0.0346694250294972,0.155755562602333,0.2056078005318322,0.0034848779751158,0.0023181597705985,0.0124447566846504,-17.83070570456257,41.58900651014733,29.05250360798184,-178.89101918458107,0.1806253750695449,0.0481781742537441,0.2277338678388139,0.0569386818198339
C021_A19_SY16_P07_S01_01DAS,2719,601,2086.185964474013,3.476976607456688,26.703977051792712,0.0107802264835162,3.9749291871228807,277.50147247314453,2874.594641622948,1.3254099095495089,0.0224645747381272,0.0212056702337546,0.1030018734392244,0.5890679214949012,0.0099842020592356,0.0107728944076267,0.0516802898416841,8.539000671714344,10.02619574432853,31.23729763237285,-13.79785838126372,0.1693288644613449,0.0199355253641977,0.2044351831142402,0.0991389251454818
C021_A18_SY15_P07_S01_02DBS,2383,601,954.3755374401812,1.5906258957336348,8.802895835651432,0.0025392477261398,1.6211580335275462,239.17179107666016,2722.490562303797,0.8063445908632083,0.0136668574722577,0.0121103886801661,0.0473875012556796,0.4195660007133559,0.0071112881476839,0.0065972794480852,0.0223740352632645,28.33566458787931,43.99309753662663,179.7185874602575,-173.51703624700673,0.1249053888849899,0.0386023990405064,0.1888916699419594,0.0677230345233703
C021_A20_SY16_P07_S02_01DAS,1964,601,305.7042426344092,0.5095070710573483,30.30116984791197,0.011396121895361,1.4334755793302218,103.54553985595705,242.28050820532897,0.2982915209362168,0.0050557884904443,0.0041153907927076,0.0169617834308157,0.1578996690617972,0.0026762655773185,0.0037680112410898,0.0210315947735732,6.469319226055723,8.527631167150567,12.533843168737224,-27.362937061717247,0.1632785976917781,0.0056018318873844,0.1753489658214938,0.1420441072292022
C021_A20_SY16_P07_S12_01NAS,3146,601,228.25051974968804,0.3804175329161466,7.071721617920388,0.0081535671672855,0.5098088483633144,71.71602249145508,309.8799063074771,0.6447098302683522,0.0109272852587856,0.0099396136897526,0.044481507161947,0.1552424992644819,0.0026312288010929,0.0026950101609607,0.0181329673636646,-9.392464581832485,11.477939891257977,4.290421585997929,-41.31589031579287,0.1404149891936533,0.0461400778952247,0.2110849022990116,0.0799142796024577
C021_A19_SY15_P07_S01_02DAS,2628,601,1804.3161955386745,3.0071936592311235,41.63893798884583,0.0627512320173674,2.4697207039252884,411.87915802001953,7291.39661368773,1.3211322605059583,0.0223920722119653,0.0124916700212633,0.0571830335773901,0.9158120893319912,0.0155222388022371,0.0063904054317149,0.0311637523166496,9.419905320335609,9.652881484274042,28.71325670670128,-12.021354607710876,0.1592981184034458,0.0203871519325841,0.191122062434586,0.1020781598564227
C021_A18_SY16_P07_S14_01DAS,3675,601,492.5796293087941,0.8209660488479897,35.99164453602887,0.0045508618920675,1.9351155506302435,121.05420684814452,307.3811815301079,1.309560456568189,0.0221959399418337,0.035244997648134,0.1540520186889299,0.2112729555276161,0.0035808975513155,0.0023487363332079,0.0126110290634096,-14.0803773362794,54.55748567668487,176.55066770335867,-158.16899650720018,0.1812529015917804,0.0435884187533815,0.22532144763943,0.0928392193756774
C021_A18_SY16_P07_S13_03NBS,2276,601,295.80318156509315,0.4930053026084883,16.320601177728303,0.0097408576652696,0.9738896400363942,162.35494232177734,2680.178002288592,0.463999058710454,0.0078643908256009,0.0128061708434135,0.0558487700366356,0.1830715117310707,0.0031029069784927,0.0028742580408012,0.0130644871609218,19.719915789292603,6.91838746952307,36.60213020862271,-2.703304477572396,0.0962512764992094,0.0399628747246779,0.1783942786535934,0.0671192640840897
C021_A20_SY15_P07_S13_02NAS,160,601,1639.7262299774643,2.732877049962444,35.93063909878452,0.056361051571295,2.986475780979414,479.9526977539063,11512.613628990555,2.029986019224365,0.034406542698718,0.028587837044023,0.2061428068933468,0.7893287245622778,0.0133784529586826,0.0114683578356158,0.0423938508379803,-2.0268219736058297,29.365066861092824,114.11088923621392,-56.21752609531541,0.1268311393117994,0.0533561019272784,0.2139933607883906,0.0373179091163589
C021_A19_SY15_P07_S14_01DBS,2467,601,1297.4352038230656,2.1623920063717765,44.3898246545355,0.0201176587762536,2.892899202022772,393.3590545654297,2152.216079772743,0.915338556196898,0.0155142128168965,0.0174671326352227,0.089468212591805,0.4020288897324364,0.0068140489785158,0.0053328961318304,0.0248146103045619,30.082442356774145,68.36238508953124,173.54940565856404,-177.15364881223442,0.215196543697279,0.0237456144800234,0.2504575848501478,0.1166203487300743
C021_A19_SY16_P07_S02_01DAS,3146,601,1541.1581449758755,2.568596908293127,43.34685083971612,0.0209332178935942,4.11414128988593,403.1945495605469,5083.578629530416,1.2427414742424554,0.0210634148176687,0.0279648480828585,0.1393767721081385,0.5088864711364792,0.008625194426042,0.0099208721471581,0.0431773911642488,-0.8143466858808563,15.750585345382678,17.92621801436513,-53.874718577539184,0.1520975359922159,0.0216947283896833,0.2085341057437128,0.0692189569335678
C021_A19_SY16_P07_S13_01NAS,3022,601,1285.3783503778034,2.14229725062967,48.42323366961018,0.0599900218618939,2.7555454428821786,201.25511169433597,1603.7854167550613,1.0718202625077895,0.0194876411365052,0.0142195485333498,0.0725899351046862,0.5509757874753713,0.0100177415904612,0.0074716134170316,0.0300503599880635,10.829220990701582,10.790502252282662,36.935329863582645,-15.956145370087608,0.1843145281010104,0.0209833322238188,0.211963577053034,0.0994694998739315
C021_A19_SY17_P07_S01_01DAS,3758,601,1270.6565989875508,2.1177609983125856,38.55393317848522,0.0133362602039528,3.1624454559538875,310.1788787841797,3773.496594303249,1.0727175603758825,0.0181816535656929,0.0229133791120322,0.1008242581485895,0.509983775760614,0.0086437928095019,0.0143630433246263,0.0818782521530145,37.7914803243396,24.131975959689463,65.02065782605061,-10.03759819830777,0.1158893562810533,0.0515477953333843,0.2066484580861141,0.0630418201013274
C021_A20_SY15_P07_S12_02NBS,100,601,2347.971945244689,3.913286575407812,27.416692854426824,0.0517239752410354,3.69976882405059,825.9752616882324,35437.30852398728,2.8477684476230647,0.0482672618241197,0.0392339992802198,0.2116558115263291,1.1645055588934443,0.0197373823541261,0.0117186007928527,0.0443313281767917,-7.042680318009544,60.18470839461357,160.8541992692635,-179.37504982327977,0.146817502919488,0.0560022748202224,0.2324039804172466,0.0260232661703618
C021_A18_SY16_P07_S01_03DAS,2962,600,428.4723332798893,0.715312743372103,4.938023300767187,0.0084770916408856,0.7615671925898277,97.1087417602539,271.99983990603147,0.5850999720634673,0.0099169486790418,0.012635819066531,0.0579930151393078,0.21796993432003,0.0036944056664411,0.0032275834548573,0.016850563206714,20.800849092249752,67.97654252127272,179.36147436787283,-179.86712006501776,0.1204751118916086,0.0545523033922868,0.1912466573153217,0.0338330162594199
C021_A18_SY16_P01_S06_01DAS,2994,600,679.6140081035066,1.1345809818088604,63.30197912190348,0.0198959221274123,2.896198516231356,147.90780639648426,990.8352312205544,2.074748714632633,0.0351652324514005,0.0443807474621461,0.2154525415442501,0.4374549300966672,0.0074144903406214,0.0074446162606025,0.0322189408905908,5.138065062025486,9.05913090321618,22.58120699232838,-15.085616315896363,0.1215302516586173,0.0792326317067209,0.3164709341409829,0.0148055690452619
C021_A18_SY16_P01_S06_01DBS,1915,600,548.6465949368774,0.915937554151715,51.599112242212726,0.0205100830274433,2.6025875608795626,159.60192108154297,336.7005331451712,0.8255812060761416,0.0139929017979007,0.0271710028632986,0.1545381283943025,0.207469469767056,0.003516431690967,0.0021468914438671,0.01021809117825,34.16632446830947,58.36550247279661,161.4774873418228,-165.57204711553635,0.1627643051029443,0.048443457175551,0.2047519533168204,0.085395180272293
C021_A21_SY16_P07_S07_02DBS,2353,600,1199.0229876262586,2.0017078257533534,51.04570837953926,0.0114489328953261,3.0451272175512525,98.259033203125,715.6214931369659,0.3303591549782059,0.005599307711495,0.0162101323989364,0.1261431793134243,0.091304100542442,0.001547527127838,0.0014120477353753,0.0074212723537831,3.538208747607256,2.0266175013646155,7.438892805469163,-0.5964445595402836,0.0832496188471773,0.0601992144548869,0.1624755914161839,0.0302409410765427
C021_A18_SY16_P01_S13_02NBS,2578,600,571.4747590610092,0.9540480117879954,47.87232734899313,0.0048829615093382,3.158077316753961,221.886833190918,1093.0099577576157,0.7631341892541769,0.0129344777839691,0.0182039638155207,0.1069986746477155,0.2249807949025569,0.0038132338119077,0.0031558632044778,0.0158403013131968,87.2261145087198,21.66944764107489,164.238458759522,55.4795601245055,0.1918072528634059,0.0528432325193496,0.2508916233063015,0.1039975434282192
C021_A21_SY16_P07_S07_02DAS,989,600,408.15238109645327,0.6813896178571832,12.677191715390526,0.0079548503225908,1.0495892194594243,58.62715148925781,418.8563235765279,0.7882075039287838,0.0231825736449642,0.065263274166337,0.3022290127711053,0.3878990141031747,0.0114087945324463,0.0379681570483674,0.1657427730857751,0.4931762145239861,30.21306342216942,23.24741384903416,-173.4755046982507,0.0395633643955454,0.0323703152101181,0.1450205846222428,0.0221282507771236
C021_A21_SY16_P07_S06_01DAS,420,600,604.9545982723105,1.0099408986182152,26.37195312470189,0.0303496288376459,1.4386460517701758,100.13556671142578,182.5483839835082,1.6876430659648012,0.0286041197621152,0.0318097634779552,0.1589409739635785,0.1587347462737088,0.0026904194283679,0.0016479707265867,0.0090906239752048,-0.7907423928598664,17.732077357236477,31.925576743934258,-26.18536331630025,0.091371993338251,0.0359378577062592,0.1543673223262353,0.020475803157886
