video,track_id,frame_count,move_distance
C021_A20_SY15_P01_S01_01DAS,1,600,1519.3896127042851
C021_A20_SY15_P01_S01_01DAS,2,88,10.101263316149446
C021_A20_SY15_P01_S01_01DAS,4,356,49.09045893233146
C021_A20_SY15_P01_S01_01DBS,1,600,1425.0929489140017
C021_A20_SY15_P01_S01_02DAS,1,600,1548.4857907698247
C021_A20_SY15_P01_S01_02DAS,6,137,20.50121111728393
C021_A20_SY15_P01_S01_02DAS,7,3,0.23317132123282097
C021_A20_SY15_P01_S01_02DAS,8,2,0.07643795003314034
C021_A20_SY15_P01_S01_02DAS,10,181,27.54235393506197
C021_A20_SY15_P01_S01_02DBS,11,599,1343.313075515137
C021_A20_SY15_P01_S01_02DBS,15,3,12.416482439199145
C021_A20_SY15_P01_S01_02DBS,19,2,0.550710677172447
C021_A20_SY15_P01_S02_01DAS,11,600,1723.7694039650526
C021_A20_SY15_P01_S02_01DAS,20,534,84.84394391562091
C021_A20_SY15_P01_S02_01DAS,23,82,21.305595632647943
C021_A20_SY15_P01_S02_01DAS,24,48,124.41786430740433
C021_A20_SY15_P01_S02_01DAS,25,7,3.541044339800948
C021_A20_SY15_P01_S02_01DAS,26,8,91.17284545513823
C021_A20_SY15_P01_S02_01DAS,33,276,30.80638131633096
C021_A20_SY15_P01_S02_01DAS,35,8,77.65442685038012
C021_A20_SY15_P01_S02_01DAS,36,2,9.349438036675533
C021_A20_SY15_P01_S02_01DAS,37,7,19.610560310543164
C021_A20_SY15_P01_S02_01DBS,38,599,1111.71629151167
C021_A20_SY15_P01_S02_01DBS,40,11,84.58421518357123
C021_A20_SY15_P01_S02_01DBS,44,7,75.64435844524978
C021_A20_SY15_P01_S02_01DBS,45,72,258.1715306685347
C021_A20_SY15_P01_S02_01DBS,48,50,139.962069794671
C021_A20_SY15_P01_S02_01DBS,50,1,0.0
C021_A20_SY15_P01_S02_02DAS,38,599,1522.6390320857174
C021_A20_SY15_P01_S02_02DAS,54,27,7.05680100356854
C021_A20_SY15_P01_S02_02DAS,56,505,88.34586292542976
C021_A20_SY15_P01_S02_02DAS,57,59,64.31030981159437
C021_A20_SY15_P01_S02_02DAS,61,5,14.263885373616572
C021_A20_SY15_P01_S02_02DAS,62,7,3.275265542054299
C021_A20_SY15_P01_S02_02DAS,67,1,0.0
C021_A20_SY15_P01_S02_02DAS,68,54,2.99543681643105
C021_A20_SY15_P01_S02_02DBS,69,599,1190.7520577978898
C021_A20_SY15_P01_S02_02DBS,72,3,11.501197861800932
C021_A20_SY15_P01_S02_02DBS,73,4,16.73638416225712
C021_A20_SY15_P01_S02_02DBS,74,2,7.498999107168986
C021_A20_SY15_P01_S02_02DBS,75,12,12.544447438356407
C021_A20_SY15_P01_S02_02DBS,76,2,11.405136138356779
C021_A20_SY15_P01_S03_01NAS,79,599,1412.261229978632
C021_A20_SY15_P01_S03_01NAS,80,41,100.18361285979582
C021_A20_SY15_P01_S03_01NAS,84,11,8.129929038938617
