video,track_id,frame_count,move_distance,avg_speed,max_speed,min_speed,std_speed,movement_range,trajectory_variance
C021_A18_SY16_P07_S01_01DAS,420,601,272.0805700139941,0.45346761668999014,5.72183337895243,0.004314495123161897,0.6203488918740672,76.7104263305664,771.502033857309
C021_A18_SY16_P07_S01_02DAS,3202,601,381.5372384734477,0.635895397455746,17.272270685280603,0.008584180971786814,1.4136527624274144,88.74622344970703,318.8147208644931
C021_A18_SY15_P07_S11_02NAS,2211,601,701.615215637397,1.1693586927289967,32.38468989981828,0.0039966668997895895,1.9598914406072592,253.31124877929688,1655.3144014661732
C021_A18_SY16_P07_S13_02NAS,257,601,551.9951140489176,0.9199918567481951,25.441860101456165,0.01759888330610168,1.4038957303982806,78.6489028930664,112.65891158260598
C021_A21_SY16_P07_S02_01DAS,816,601,354.9125104860259,0.5915208508100439,13.733307505273894,0.0029621314633378575,0.849244743658782,88.37653350830078,106.3837054513967
C021_A21_SY15_P07_S14_01DAS,2242,601,1005.6480439107494,1.676080073184582,10.417267687298262,0.014169921878286265,1.755599188782114,379.3077697753906,4719.971843396259
C021_A18_SY15_P07_S12_03NAS,756,601,1441.6466607031962,2.402744434505328,15.151273498159435,0.00827129118332332,2.5080360949356892,660.8546142578125,23896.193467198627
C021_A18_SY15_P07_S13_03NBS,3202,601,991.9088514762414,1.6531814191270688,49.08563721103347,0.009324434253334131,2.649151385124215,507.3728485107422,10544.220667872007
C021_A18_SY16_P07_S12_03NBS,3146,601,231.29525080451467,0.38549208467419116,28.604645296212702,0.0019110072332963433,1.2822395276640903,63.13615417480469,161.5590571475934
C021_A21_SY16_P07_S12_01NBS,2180,601,693.068904537692,1.1551148408961538,12.015404142889894,0.026022907419526342,1.134783253267471,69.55294799804688,182.67162386097834
C021_A21_SY16_P07_S14_01DAS,1698,601,589.5154530157786,0.9825257550262969,71.0001582882544,0.0050686748310917115,3.2196095817922594,170.1258087158203,297.5275859535442
C021_A19_SY16_P07_S01_01DAS,2719,601,2086.185964474013,3.4769766074566877,26.703977051792712,0.010780226483516205,3.9749291871228807,277.50147247314453,2874.594641622948
C021_A18_SY15_P07_S01_02DBS,2383,601,954.3755374401812,1.5906258957336348,8.802895835651432,0.002539247726139892,1.6211580335275462,239.17179107666016,2722.490562303797
C021_A20_SY16_P07_S02_01DAS,1964,601,305.7042426344092,0.5095070710573483,30.301169847911975,0.011396121895361048,1.4334755793302218,103.54553985595703,242.28050820532897
C021_A20_SY16_P07_S12_01NAS,3146,601,228.25051974968804,0.3804175329161466,7.071721617920388,0.008153567167285594,0.5098088483633144,71.71602249145508,309.8799063074771
C021_A19_SY15_P07_S01_02DAS,2628,601,1804.3161955386743,3.0071936592311235,41.63893798884583,0.06275123201736744,2.4697207039252884,411.87915802001953,7291.39661368773
C021_A18_SY16_P07_S14_01DAS,3675,601,492.57962930879404,0.8209660488479897,35.99164453602887,0.004550861892067547,1.9351155506302435,121.05420684814453,307.3811815301079
C021_A18_SY16_P07_S13_03NBS,2276,601,295.80318156509315,0.4930053026084883,16.320601177728303,0.009740857665269687,0.9738896400363942,162.35494232177734,2680.178002288592
C021_A20_SY15_P07_S13_02NAS,160,601,1639.7262299774643,2.7328770499624437,35.93063909878452,0.05636105157129505,2.986475780979414,479.95269775390625,11512.613628990557
C021_A19_SY15_P07_S14_01DBS,2467,601,1297.4352038230656,2.1623920063717765,44.3898246545355,0.020117658776253648,2.892899202022772,393.3590545654297,2152.216079772743
C021_A19_SY16_P07_S02_01DAS,3146,601,1541.1581449758755,2.568596908293127,43.34685083971612,0.020933217893594293,4.11414128988593,403.1945495605469,5083.578629530416
C021_A19_SY16_P07_S13_01NAS,3022,601,1285.3783503778034,2.14229725062967,48.42323366961018,0.05999002186189394,2.7555454428821786,201.25511169433594,1603.7854167550613
C021_A19_SY17_P07_S01_01DAS,3758,601,1270.6565989875508,2.1177609983125856,38.553933178485224,0.013336260203952838,3.1624454559538875,310.1788787841797,3773.496594303249
C021_A20_SY15_P07_S12_02NBS,100,601,2347.971945244689,3.9132865754078123,27.416692854426824,0.051723975241035426,3.69976882405059,825.9752616882324,35437.30852398728
C021_A18_SY16_P07_S01_03DAS,2962,600,428.4723332798893,0.715312743372103,4.938023300767187,0.008477091640885686,0.7615671925898277,97.1087417602539,271.99983990603147
