video,frame_count,hand_motion,body_motion,upper_body_angle,arm_extension
C021_A18_SY16_P07_S01_03DBS.mp4,600,0.3658619747146835,0.1765516671550371,71.88794586691799,0.1608595301762708
C021_A19_SY16_P01_S08_01DBS.mp4,600,0.9839570904093566,0.6668222932047736,10.538859863917803,0.11577793348652092
C021_A20_SY15_P07_S14_01DBS.mp4,601,0.5918141017972175,0.3052452467200829,28.61827442444677,0.10623294426436719
C021_A20_SY15_P07_S02_02DAS.mp4,601,1.4929767061858061,0.7329196531099652,7.996657425507319,0.12572420620344255
C021_A21_SY16_P07_S10_01DBS.mp4,600,1.2887868067256265,0.18483626514510595,0.35806307667129716,0.1432867582286447
C021_A20_SY15_P07_S14_02DAS.mp4,601,1.4862140932921355,0.5294265949691043,-36.7626360377228,0.17054116814203363
C021_A18_SY16_P07_S13_03NAS.mp4,601,0.47124890013450543,0.11289094757405699,3.706879084667845,0.08245867668371451
C021_A19_SY16_P01_S11_01DBS.mp4,600,1.6882715577197034,0.8860630765245904,24.516349892888126,0.19032919180540717
C021_A17_SY15_P01_S10_01DAS.mp4,600,1.93377250908387,0.5834973976177236,-62.91165609171007,0.14552519764083618
C021_A21_SY15_P07_S08_01DBS.mp4,600,1.62936918378662,0.7211334004231056,7.04609060346885,0.19833509223682133
C021_A21_SY15_P07_S11_01DAS.mp4,601,1.7702741769989678,0.6269836251529012,-14.377577607130275,0.10488229854267171
C021_A20_SY15_P07_S02_02DBS.mp4,600,1.0324647595160727,0.5158949142292281,37.54274774719682,0.10129951144513806
C021_A17_SY15_P07_S02_01DBS.mp4,600,0.8122418780511883,0.3153787661974806,24.577722138323065,0.11677364600277793
C021_A18_SY17_P07_S02_03DBS.mp4,600,0.7295756523562249,0.1365393553247452,-5.877456643670271,0.08825634348744599
C021_A20_SY16_P07_S03_01DBS.mp4,600,0.5619429618155659,0.36340037015032406,-4.614129256921559,0.20531086436766088
C021_A17_SY15_P01_S11_01DBS.mp4,600,1.0532720233458062,0.5870457620530534,13.01222440643789,0.1979809839670697
C021_A18_SY17_P01_S04_02DAS.mp4,600,0.6022294188293577,0.37950005379867513,33.47442635316216,0.08374246527829338
C021_A20_SY15_P01_S04_01DBS.mp4,600,1.6519692917719029,1.125824569166837,29.066748442314157,0.18346635404372755
C021_A20_SY15_P07_S01_02DAS.mp4,601,1.1410868161459284,0.7076573880674166,15.30217498048825,0.11302910033841301
C021_A18_SY15_P01_S07_01DAS.mp4,600,2.677989136446919,1.3754243557639638,-23.835953775525567,0.10289272321308936
C021_A21_SY15_P01_S09_01DAS.mp4,600,3.3207366750994605,0.7902443354582537,-18.75687231720966,0.17246717947505247
C021_A18_SY16_P01_S06_02DAS.mp4,600,2.929860524605888,0.27688312034174994,12.320622142570107,0.10621475096819757
